gname;surname;passport;experience;departament;active;iphone
Linda;Williams;P898486497;8;rrhh;yes;1
William;Martinez;P796030677;14;iphone;yes;1
Robert;Martinez;P754079705;8;rrhh;yes;1
Michael;Williams;P221909827;2;rrhh;no;0
Michael;Johnson;P104566311;12;ipad;no;1
John;Hernandez;P487052518;6;iphone;no;1
William;Jones;P981904819;13;appletv;yes;1
James;Martinez;P758629887;3;macos;yes;1
Michael;Brown;P622381983;5;iphone;yes;1
John;Miller;P850001106;8;iphone;yes;1
Elizabeth;Garcia;P925945414;12;macos;yes;1
Jennifer;Davis;P714797668;12;appletv;yes;1
Robert;Johnson;P705250030;4;rrhh;yes;0
James;Davis;P720120501;15;iphone;no;1
Elizabeth;Brown;P510001732;11;macos;yes;1
Elizabeth;Brown;P875414325;3;iphone;yes;1
Patricia;Garcia;P965266622;1;appletv;yes;1
William;Davis;P163053001;1;ipad;no;1
Linda;Brown;P880109670;2;macos;yes;1
Jennifer;Williams;P708419867;5;ipad;yes;1
William;Williams;P988998745;2;ipad;no;0
Linda;Martinez;P852887841;0;ipad;yes;1
William;Davis;P559907868;5;ipad;yes;1
James;Miller;P861720172;3;rrhh;yes;1
Elizabeth;Hernandez;P555232391;3;iphone;yes;1
Michael;Garcia;P836745564;14;rrhh;yes;1
Jennifer;Davis;P504471177;0;iphone;yes;1
Linda;Smith;P291301309;14;iphone;yes;0
Jennifer;Miller;P920404214;5;macos;yes;1
Jennifer;Johnson;P497136572;5;iphone;yes;1
Michael;Jones;P369350572;8;appletv;yes;1
Robert;Miller;P271841369;4;appletv;yes;1
Elizabeth;Davis;P984895208;4;rrhh;yes;1
William;Garcia;P907854443;1;ipad;yes;1
Mary;Davis;P249904184;9;ipad;yes;1
John;Hernandez;P910475498;3;appletv;yes;1
Patricia;Hernandez;P354852168;3;iphone;yes;1
Robert;Miller;P904878130;8;appletv;yes;1
Jennifer;Miller;P997515030;13;macos;yes;1
Linda;Smith;P849770142;1;macos;yes;1
James;Martinez;P453425888;14;ipad;yes;1
Michael;Miller;P809350274;10;rrhh;yes;1
Jennifer;Davis;P116906236;4;appletv;yes;1
Michael;Hernandez;P219552778;13;appletv;yes;1
James;Smith;P785465098;2;appletv;yes;1
Robert;Davis;P325706573;14;ipad;yes;1
John;Miller;P829140845;11;rrhh;yes;1
William;Hernandez;P780197979;14;macos;yes;1
James;Martinez;P397400035;0;appletv;yes;1
Mary;Johnson;P433207051;4;ipad;yes;1
Jennifer;Garcia;P613809050;3;ipad;yes;1
William;Smith;P131308794;1;appletv;yes;1
Linda;Garcia;P961295765;4;iphone;no;1
Michael;Martinez;P533040114;8;appletv;yes;1
William;Williams;P560680663;7;appletv;yes;1
Jennifer;Williams;P301553319;15;ipad;no;1
James;Brown;P721797020;3;macos;yes;1
Jennifer;Williams;P293145507;9;ipad;yes;1
Jennifer;Hernandez;P469651367;2;macos;yes;1
William;Miller;P121960017;13;appletv;yes;1
Mary;Miller;P438816523;10;ipad;yes;1
Jennifer;Miller;P723369102;15;iphone;yes;1
William;Hernandez;P829078860;15;ipad;yes;1
Robert;Smith;P479976877;13;ipad;yes;1
Michael;Hernandez;P305309669;15;appletv;yes;1
Michael;Brown;P905100224;10;iphone;yes;1
Mary;Davis;P277210536;9;macos;yes;1
Robert;Hernandez;P525102003;6;rrhh;yes;0
William;Davis;P747492713;15;iphone;yes;1
Jennifer;Miller;P986298974;3;iphone;yes;1
Mary;Miller;P405850115;9;iphone;yes;1
John;Johnson;P651109058;3;iphone;yes;1
John;Jones;P819005810;13;iphone;yes;1
Robert;Smith;P936962820;8;ipad;yes;1
John;Jones;P794492594;8;macos;yes;1
Elizabeth;Brown;P411249141;5;appletv;yes;1
Elizabeth;Martinez;P678612219;5;iphone;no;1
Jennifer;Davis;P820394487;1;macos;yes;1
William;Hernandez;P363802854;8;appletv;yes;0
Robert;Smith;P795676973;14;ipad;yes;1
Jennifer;Williams;P537823536;6;rrhh;yes;1
Robert;Jones;P899045555;9;iphone;yes;0
Patricia;Jones;P259023936;11;iphone;yes;1
John;Williams;P231974495;14;ipad;yes;0
Robert;Davis;P983752652;10;rrhh;yes;1
Michael;Garcia;P719773894;2;iphone;yes;1
Jennifer;Hernandez;P955998232;15;iphone;no;1
Jennifer;Garcia;P940794946;11;rrhh;yes;1
Patricia;Hernandez;P696890630;2;rrhh;yes;1
Elizabeth;Smith;P629455377;15;appletv;yes;1
Michael;Davis;P601393344;3;macos;yes;1
Patricia;Hernandez;P380518037;7;ipad;yes;1
John;Davis;P255783123;14;macos;yes;1
Mary;Smith;P206698405;6;appletv;yes;1
Linda;Hernandez;P287228528;7;appletv;yes;1
